time	f_x	f_y	f_z	m_x	m_y	m_z	x	y	z	x0	y0	z0	u_x	u_y	u_z	theta	u0_x	u0_y	u0_z	theta0	dx	dy	dz	lambda_11	lambda_12	lambda_13	lambda_21	lambda_22	lambda_23	lambda_31	lambda_32	lambda_33	omega_x	omega_y	omega_z	lambda_w_11	lambda_w_12	lambda_w_13	lambda_w_21	lambda_w_22	lambda_w_23	lambda_w_31	lambda_w_32	lambda_w_33
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6216506434306811	0.018939322283753328	0.030073127455932824	0.6216506434306811	0.018939322283753328	0.030073127455932824	-0.12062363021963221	0.992665245920928	-0.008102430091116596	3.145099764364526	-5.69627166005037e-22	-2.525700338526944e-21	4.2572265173735355e-23	0.005	-0.00011103115071681578	-9.999108817314954e-05	-4.1738306411141407e-05	1.1216150237348648	-0.5326424173210619	-1.199420930250769	-0.5326424173210621	2.8680585819873623	0.9856697509645459	-1.199420930250769	0.9856697509645467	7.112494090933504	0.0003300032914588703	-0.00107889939048969	-0.0014359564395454555	0.06776219517802728	0.01840926942522558	0.03204007443936214	0.018409269425225572	0.014138132891788195	0.010873221661189543	0.03204007443936215	0.01087322166118955	0.03361611426553375
0.005	0.18391953455048016	-0.026152386780912223	-0.2135393904444712	0.486295943811524	-0.3032486935121757	0.07841068109395342	0.6216429905674765	0.01894052353282321	0.030069027883949107	0.6216506434306811	0.018939322283753328	0.030073127455932824	-0.12062571239562317	0.9926649992701612	-0.00810165001830306	3.14511888051911	0.00015047611416202012	-0.0038322276558238676	-0.0008055542214338229	0.005009816393705354	-0.0003040741997582942	0.00028869084196383944	-0.0008212490148448326	1.1216515568364278	-0.5326770360969236	-1.1995302938311962	-0.5326770360969235	2.8681325698952556	0.9856452460008746	-1.1995302938311962	0.9856452460008748	7.11266127948003	-0.00015077261113777732	0.003839746516179016	0.0008071402608680033	0.06776198083468332	0.018409258889973065	0.03203898727157457	0.018409258889973065	0.014138139842136235	0.010872861690836124	0.03203898727157458	0.010872861690836125	0.03361494659532627
0.01	0.18551172876004424	-0.02031919371811574	-0.23015894865962833	0.48132386646954384	-0.31437643360250406	0.06244281902011646	0.6216402112993944	0.0189414325390959	0.03006801941657386	0.6216506434306811	0.018939322283753328	0.030073127455932824	-0.12062686754832525	0.9926648622858575	-0.008101234997124066	3.1451231745063843	8.898883177836393e-05	-0.0047046270642992685	-0.001262084852774173	0.005012209180742504	-0.00027664741821424056	0.0001622137526673979	-0.00020174698645606092	1.1216603741544764	-0.5326886343128915	-1.1995564157087673	-0.5326886343128914	2.8681551081872705	0.985638742746944	-1.1995564157087664	0.9856387427469432	7.112711414620091	6.15676540638641e-05	0.0008763631039258651	0.0004580294869882269	0.06776227238727862	0.018409441221603994	0.0320388428770365	0.01840944122160399	0.01413822167709326	0.010872851455371025	0.0320388428770365	0.010872851455371027	0.03361466308079861
0.015	0.19539268833690485	-0.01676766919057741	-0.21155015329796512	0.4820110627622221	-0.3004715474718799	0.08562419288779932	0.6216381574167592	0.018942277862273385	0.030067199754447216	0.6216506434306811	0.018939322283753328	0.030073127455932824	-0.12062769970799812	0.9926647654174658	-0.00810071366266658	3.1451266016610764	-3.528841317597618e-05	-0.005409146478623752	-0.0015898483241287998	0.005014134982628794	-0.00018499871844553456	0.00012927826948045537	-0.00016377863459213834	1.1216669613471757	-0.5326967987822141	-1.1995768002922913	-0.5326967987822141	2.8681715166731383	0.9856335516592446	-1.1995768002922906	0.9856335516592435	7.112747899057963	0.00012459556915337224	0.0007083228618158898	0.00032917447246749704	0.0677624422227465	0.018409548666985704	0.032038714601185736	0.0184095486669857	0.014138268807341842	0.010872826006963638	0.03203871460118573	0.01087282600696364	0.03361444693529367
0.02	0.18827861917826025	-0.01633178763349807	-0.23004553504474276	0.4926578915985094	-0.30978481670310803	0.0680191011917459	0.6216356719336975	0.01894293280914818	0.030066017996457056	0.6216506434306811	0.018939322283753328	0.030073127455932824	-0.12062858138201045	0.992664661556575	-0.008100311755358264	3.1451309974695256	-8.89117073913456e-05	-0.006298651793161424	-0.0019356319158165404	0.00501652934436172	-0.0002116239264178309	0.00011385493012915734	-0.00023643142347327538	1.1216756075562566	-0.5327073451867518	-1.1996030512950553	-0.5327073451867518	2.868193082819234	0.9856273249375699	-1.199603051295056	0.9856273249375709	7.112796459317672	5.38184651963633e-05	0.0008950354431753237	0.0003476872999516966	0.06776265789722404	0.01840967915350936	0.03203854382315895	0.018409679153509356	0.014138325960324908	0.010872792143044614	0.032038543823158946	0.010872792143044614	0.03361416385267189
0.025	0.18619729567036122	-0.032052679452079264	-0.22553798502688263	0.4749962740641644	-0.321704893152319	0.0832202209502966	0.6216337834972482	0.018943480094293336	0.03006523692404492	0.6215406160947421	0.018906525537544787	0.02989062371026352	-0.12062904392113732	0.9926646073031434	-0.00810007224464117	3.1451343083402326	0.015234357227131347	0.15135076718684462	-0.18634008404233707	0.0056835762970458	-0.0001636483775087509	0.00010458207737871942	-0.00015634075198226417	1.1216823065037416	-0.53271547275152	-1.1996228936713127	-0.5327154727515198	2.8682092465365425	0.9856225736316292	-1.199622893671313	0.985622573631629	7.112832566609252	1.5375301686717198e-05	0.0006704106509376106	0.00018074240564521768	0.06776280828461603	0.01840977859539339	0.032038409753537694	0.018409778595393386	0.01413837115751885	0.01087276857351053	0.03203840975353769	0.01087276857351053	0.03361394894249543
0.030000000000000002	0.18715959065981583	-0.020966548205543115	-0.24187937427857464	0.4954965996099496	-0.3221682226453866	0.0768163699122125	0.6216320833874142	0.01894351702838403	0.03006428116379392	0.6214672645374495	0.01888466104007244	0.029768954546483983	-0.12062913552709968	0.9926645980364818	-0.008099843643853	3.1451375991861275	0.02353884990284366	0.23663979588246115	-0.28621621719162677	0.006142951455888244	-0.00012742362585037084	3.74372578313927e-06	-0.00019128775292078713	1.121687896792666	-0.5327217138299407	-1.1996416445385283	-0.5327217138299405	2.8682261871288635	0.9856191453662811	-1.1996416445385283	0.9856191453662816	7.112868485045024	1.1409817449516557e-05	0.0006646749581212162	3.132740324817554e-05	0.06776298560683038	0.018409819270325017	0.0320382852286178	0.01840981927032502	0.014138377372454205	0.010872711706114466	0.03203828522861781	0.010872711706114467	0.03361373645594202
0.035	0.18389123176545064	-0.023248944327965457	-0.2300025718387089	0.47519865817522455	-0.31278219061600204	0.06789229299354242	0.6216288410829737	0.018943421350071127	0.030062734543641084	0.6214183634992544	0.018870084708424193	0.029687841770630535	-0.12062914313272129	0.9926645977011906	-0.008099771465839867	3.1451440282298573	0.028526893035248684	0.286159848591848	-0.344945848064625	0.006447857466887002	-0.00023890727182055763	2.1321089251951503e-05	-0.00030997780723563106	1.1217001841497973	-0.5327352567828427	-1.1996790703574536	-0.5327352567828426	2.8682574144789617	0.9856115938539556	-1.1996790703574531	0.9856115938539548	7.112936953830831	-0.00012644280556456668	0.001279884374136874	-7.430004302703405e-06	0.06776321085024185	0.018409913628966514	0.0320379984277365	0.01840991362896651	0.014138412023476352	0.010872621529620933	0.03203799842773648	0.010872621529620933	0.03361331765776864
0.04	0.17754747129027637	-0.019744087693889693	-0.21565265988984345	0.4802409701538392	-0.31274001426424247	0.07851429323187398	0.6216238591108856	0.018942794682022163	0.03006045180635522	0.6213857628071244	0.01886036715399203	0.02963376658672845	-0.12062677965675658	0.992664886034461	-0.008099633561523153	3.145154520049453	0.031701905441779095	0.31590709700357	-0.38059947497023716	0.006647338689921311	-0.0003277169855398644	-6.186616960046396e-05	-0.000457595541838337	1.1217189653816253	-0.5327542079665107	-1.1997385856034284	-0.5327542079665111	2.8683069309399682	0.9856005801616297	-1.1997385856034286	0.9856005801616289	7.1130421686025525	-0.00019911602240768757	0.002081763136031926	-0.0009694596123228452	0.06776347766241843	0.018409945524658532	0.03203750152306074	0.018409945524658536	0.014138402720666726	0.010872415345307444	0.03203750152306075	0.010872415345307446	0.033612643137894783
0.045	0.17988706554143322	-0.020467743937619465	-0.2136979934908051	0.4735273082466759	-0.3119750561892771	0.07707936019035909	0.6216167904933252	0.018942410632145537	0.0300544402616566	0.6213640290123711	0.018853888784370564	0.029597716464127375	-0.1206244982611856	0.9926651713465032	-0.008098642778576077	3.1451701659670657	0.03362083325104672	0.33363664722531655	-0.4031844455907486	0.006776927723939949	-0.0004044403873421131	-8.192531126291109e-05	-0.0012030608282857561	1.1217450271665448	-0.5327824360370418	-1.1998280116942268	-0.5327824360370417	2.868387028207306	0.9855853674286535	-1.1998280116942266	0.9855853674286535	7.113216941544569	1.523563717948193e-05	0.00314644180044723	-0.0009456781857710174	0.06776428391560832	0.01841008337022656	0.032036898446032164	0.01841008337022656	0.014138401751500228	0.010872119304281133	0.03203689844603217	0.010872119304281131	0.03361163670754844
0.049999999999999996	0.18487080744457554	-0.0217780435538245	-0.20779936088390258	0.4765502170461783	-0.30083778622528334	0.06990215795890027	0.6216044507556917	0.018941543263930046	0.030043712590748034	0.6213495398158688	0.018849569871289624	0.02957368304905978	-0.12062110533825608	0.9926655930645458	-0.008097486819435878	3.1452029591096418	0.03514952571823045	0.34226216699942413	-0.41771093399879156	0.006854788876294541	-0.00036675612293069485	-6.721692823755956e-05	-0.002148084722646804	1.1218020867129517	-0.5328363093671818	-1.200013569907253	-0.5328363093671816	2.8685316345191616	0.9855516264375855	-1.2000135699072527	0.9855516264375856	7.113537574949612	-0.0003332205270277324	0.006555001996421699	-0.001421490688152562	0.06776470856658694	0.018409982588735798	0.032035257088480436	0.0184099825887358	0.01413828561938676	0.010871396595131998	0.032035257088480436	0.010871396595131996	0.033609590625855765
0.05499999999999999	0.18369554911413627	-0.05311593690271303	-0.21512407440033987	0.4891720214327385	-0.3184568219149696	0.08403227422976137	0.6215893523951794	0.018938989527108308	0.03003340407818439	0.621339880351534	0.018846690595902302	0.029557660772348053	-0.1206165734245917	0.9926661384032437	-0.00809814070650544	3.1452527496982023	0.037096872794597675	0.3444537314196766	-0.4271530348165552	0.0068964800774038455	0.00013343531896671442	-4.3337863227725766e-05	-0.0020681429736881278	1.12189465094721	-0.5329090225639073	-1.200291274259567	-0.5329090225639074	2.868706009749855	0.9854961954200953	-1.2002912742595668	0.9854961954200953	7.113929977037496	-0.0014623347797797955	0.009838453089150432	-0.0019059124625141325	0.06776282042669343	0.018409076276524054	0.03203199223528756	0.018409076276524057	0.014137899722567451	0.010870112354266426	0.032031992235287576	0.010870112354266428	0.03360659000799196
0.05999999999999999	0.17139215267555788	-0.022823443994537448	-0.22797129849274114	0.49070604790972594	-0.3137007482395687	0.0646876684133254	0.6215744272657177	0.01893531294576506	0.03002506565121371	0.6212025091722876	0.018859849634947388	0.02930509792940886	-0.12061025749623774	0.9926668860276693	-0.008100566080310574	3.1453109774181773	0.3475730542341058	0.29234975696358223	-0.2729027784475284	0.006802068629605795	0.00067675604913054	2.228431013598714e-05	-0.0016770444263144778	1.1220069475444263	-0.5329877200817377	-1.2006135223438221	-0.5329877200817377	2.8688792158949745	0.9854287080156262	-1.2006135223438221	0.9854287080156265	7.114325424583969	-0.0023699304312504578	0.011422105103857601	-0.002636407204263528	0.06775888331960465	0.018407495368093944	0.03202764571063931	0.018407495368093944	0.014137301216010924	0.010868479140921017	0.03202764571063932	0.010868479140921018	0.03360315246858101
0.06499999999999999	0.1804489504646942	-0.023073815323877693	-0.20983800776930264	0.47603762158403096	-0.31681173876837143	0.07004691633598269	0.6215573810486466	0.018933122477477325	0.030011421474646888	0.6211109283861233	0.01886862232764411	0.029136722700782842	-0.12060427049546606	0.9926676064481895	-0.008101422509593491	3.145374303754726	0.5278300592416951	0.23879051307670374	-0.15763260555541636	0.0071448661398500115	0.000600663419911821	0.00015948652182561245	-0.002737285204435991	1.1221257116204983	-0.5330770390308324	-1.200966574730085	-0.5330770390308323	2.869087249519289	0.9853568462268344	-1.2009665747300848	0.9853568462268353	7.1148023413727675	-0.0018698065142288855	0.01251112907412991	-0.0025139011715861804	0.06775579787572701	0.018406140228523302	0.03202330160837149	0.018406140228523302	0.014136751962772786	0.01086679151677282	0.03202330160837148	0.010866791516772818	0.033599384599497226
0.06999999999999999	0.17630311446273553	-0.014993237927457484	-0.21783847134331027	0.4855713338507941	-0.3252314676780543	0.07587792685187994	0.6215414723412931	0.018934004441532978	0.029993338190146712	0.6210498745286802	0.018874470789441943	0.0290244725483656	-0.12059895935872532	0.9926682804611994	-0.008097898974320472	3.1454285899417656	0.6279231097774174	0.20093701693728763	-0.08503698803657962	0.007489237139621158	0.00032143471247993697	0.00014765885024378342	-0.003619587137073501	1.1222139827121924	-0.5331461646595343	-1.2012652591928292	-0.5331461646595346	2.8692982596555967	0.9853037845971682	-1.201265259192829	0.9853037845971677	7.115265734164867	8.776689036427036e-05	0.010929893048299838	-0.002231975308823245	0.06775514902255055	0.018405163261613757	0.032020245613116505	0.01840516326161375	0.014136183995188074	0.010865250214866277	0.03202024561311651	0.010865250214866283	0.03359614906546129
0.075	0.18624926199661865	-0.027179467307667318	-0.2276424132550575	0.480245254943146	-0.3050648367227095	0.081498270496614	0.6215278060606145	0.018938174814168127	0.02997209336353654	0.6210091719570515	0.018878369763973828	0.028949639113420664	-0.12059596659611478	0.9926687118131554	-0.008089587626062534	3.1454686505554115	0.6857261376663932	0.1762519216963596	-0.040231284704567445	0.007746870122452008	-5.9953044921887384e-05	8.719714529542176e-05	-0.004245267059000535	1.1222613013604295	-0.533187197411151	-1.2014800998617274	-0.5331871974111512	2.869495409534755	0.9852753260026261	-1.2014800998617279	0.9852753260026257	7.115675740631532	0.0023329770258138692	0.008344296489951657	-0.001280403719092785	0.06775723544986605	0.01840467679610411	0.03201885485219888	0.01840467679610411	0.014135637360902254	0.01086398774887335	0.03201885485219887	0.010863987748873349	0.03359376107852813
0.08	0.19239590572722534	-0.024212009215216258	-0.21571054507177642	0.47867526442689057	-0.3021715477727664	0.07852136014141127	0.6215139089199103	0.018943719738677072	0.029947688650772325	0.6209820369092992	0.018880969080328366	0.02889975015679071	-0.12059092009243633	0.9926694171027881	-0.008078263431616195	3.145508610756231	0.7205117248982663	0.15876247373743566	-0.011186328000030738	0.007923175221453204	-6.602328607073648e-05	-2.1487474366524088e-05	-0.0048741730825766156	1.1222968161893236	-0.53321611898893	-1.2016878900302674	-0.53321611898893	2.869708455978506	0.9852548359079701	-1.2016878900302672	0.9852548359079701	7.1161007487132055	0.0035309713772193477	0.008462840432063457	-0.0021112914517829387	0.06776033808015286	0.01840403649448355	0.0320178289378995	0.01840403649448355	0.014134884682233026	0.010862536486843337	0.03201782893789951	0.010862536486843342	0.033591405125173245
